t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
12007,2.3702,2.1408,1.9199,0.827,4.1851,-0.0165,-0.1868,0.03517,-0.168,-1.078
12110,2.3652,2.1408,1.9484,0.827,4.1571,0.0008,-0.1695,0.02874,-0.258,-1.153
12210,2.4808,2.3216,2.1589,0.827,4.1851,0.0073,-0.0927,0.00864,-0.109,-1.085
12311,2.3652,2.1359,1.8915,0.827,4.1851,-0.0317,-0.1969,0.03976,-0.179,-1.135
12413,2.3803,2.1603,1.9882,0.827,4.1851,0.013,-0.1564,0.02461,-0.202,-1.083
12517,2.4858,2.3265,2.1476,0.827,4.1851,-0.0032,-0.0998,0.00998,-0.201,-1.207
12620,2.2747,2.219,2.0053,0.827,4.1851,-0.0456,-0.0133,0.00225,-0.151,-1.004
12716,2.4808,2.346,2.1646,0.8563,4.1851,-0.0095,-0.0768,0.00599,-0.108,-1.098
12820,2.3049,2.1457,2.0337,0.827,4.1851,0.0399,-0.0707,0.00659,-0.188,-1.041
12921,2.3602,2.1212,1.8858,0.827,4.1851,-0.0241,-0.2024,0.04156,-0.02,-1.002
13022,2.3451,2.0919,1.9711,0.827,4.1851,0.0524,-0.1667,0.03054,-0.193,-1.094
13126,2.2546,2.1994,1.9711,0.827,4.1851,-0.0551,-0.0191,0.00339,-0.154,-1.497
13226,2.4858,2.3265,2.1646,0.827,4.1851,0.0078,-0.0925,0.00861,0.006,-0.94
13326,2.3551,2.1359,1.8915,0.827,4.1851,-0.0337,-0.187,0.03611,-0.288,-1.131
13429,2.2647,2.2092,1.9939,0.827,4.1851,-0.0466,-0.0137,0.00236,-0.103,-1.182
13529,2.4858,2.3216,2.1703,0.827,4.1851,0.0156,-0.0927,0.00883,-0.182,-1.066
13634,2.325,2.0821,2.0394,0.827,4.1851,0.1006,-0.1227,0.02519,-0.168,-1.063
13733,2.3049,2.175,1.9484,0.827,4.1851,-0.0395,-0.0916,0.00995,-0.059,-0.99
13833,2.3753,2.1554,1.9256,0.827,4.1851,-0.0242,-0.1812,0.03343,-0.251,-1.173
13936,2.2496,2.1896,2.0053,0.827,4.1851,-0.0259,-0.0047,0.00069,-0.166,-1.038
14035,2.4858,2.3216,2.1476,0.827,4.1851,0.0009,-0.1025,0.01051,-0.023,-1.013
14139,2.325,2.087,2.0622,0.827,4.1851,0.1112,-0.1102,0.0245,-0.182,-1.217
14243,2.2848,2.2141,2.0053,0.827,4.1851,-0.0395,-0.0258,0.00223,-0.309,-0.982
14342,2.4808,2.3265,2.1476,0.827,4.1851,-0.0041,-0.0949,0.00903,-0.027,-0.953
14444,2.2898,2.2336,2.011,0.7977,4.1851,-0.0512,-0.0176,0.00294,-0.005,-1.067
14544,2.2747,2.2141,2.0167,0.827,4.2132,-0.0342,-0.011,0.00129,0.063,-0.946
14642,2.2948,2.2336,2.0281,0.827,4.1571,-0.0393,-0.0151,0.00177,-0.172,-1.199
14748,2.2797,2.2287,2.0679,0.827,4.1851,-0.0125,0.0143,0.00036,-0.115,-1.093
14846,2.4858,2.3216,2.1589,0.827,4.1851,0.0082,-0.0976,0.00959,-0.099,-0.987
14950,2.4808,2.3216,2.1703,0.827,4.1851,0.0146,-0.0877,0.00791,-0.198,-1.048
15051,2.3501,2.1163,1.8289,0.827,4.1851,-0.0585,-0.2199,0.05179,-0.266,-1.313
15154,2.4858,2.3265,2.1646,0.827,4.1851,0.0078,-0.0925,0.00861,0.066,-1.009
15252,2.3602,2.1163,1.9199,0.827,4.1851,0.002,-0.1903,0.03622,-0.023,-1.097
15355,1.0181,2.0186,2.1532,0.827,4.1851,-0.026,1.174,1.37898,-0.004,-0.925
15452,2.2345,2.1799,1.9484,0.827,4.1851,-0.0572,-0.0199,0.00367,-0.256,-1.228
15555,2.3099,2.1945,2.0337,0.827,4.1851,-0.0,-0.0488,0.00239,-0.081,-1.051
15657,2.4858,2.3363,2.1589,0.827,4.1851,-0.004,-0.0896,0.00804,-0.025,-1.053
15761,2.2697,2.2043,1.9882,0.827,4.1851,-0.0452,-0.0238,0.00261,-0.249,-1.114
15862,2.3602,2.1359,1.9142,0.827,4.1851,-0.018,-0.1821,0.03348,-0.068,-1.01
15964,2.2848,2.219,2.0167,0.827,4.1851,-0.0363,-0.0182,0.00165,-0.147,-1.296
16070,2.4808,2.3216,2.1191,0.827,4.1851,-0.0183,-0.1099,0.01242,-0.145,-1.085
16165,2.4858,2.3216,2.1532,0.827,4.1851,0.0046,-0.1001,0.01003,0.035,-0.985
16268,2.3049,2.1065,2.0793,0.827,4.1851,0.1019,-0.0724,0.01562,-0.129,-1.167
16370,2.2395,2.1896,1.9655,0.827,4.1851,-0.0535,-0.0121,0.003,-0.121,-1.109
16471,2.4808,2.3216,2.176,0.827,4.1851,0.0182,-0.0853,0.0076,-0.055,-0.932
16574,2.4808,2.3216,2.1305,0.827,4.1851,-0.011,-0.105,0.01115,-0.127,-1.064
16669,2.4507,2.3216,1.9142,0.827,4.1851,-0.1559,-0.1691,0.05292,-0.252,-1.234
16775,2.4858,2.3265,2.1532,0.827,4.1851,0.0005,-0.0974,0.00948,-0.015,-1.036
16867,2.3652,2.1212,1.8915,0.915,4.1851,-0.0194,-0.2049,0.04236,-0.077,-1.108
16977,2.4858,2.3265,2.1476,0.827,4.1851,-0.0032,-0.0998,0.00998,-0.004,-0.982
17075,2.3501,2.1261,1.8915,0.8563,4.2412,-0.0265,-0.1874,0.03583,-0.211,-1.071
17178,2.2395,2.1896,2.0451,0.827,4.1851,-0.0022,0.0225,0.00051,-0.1,-1.025
17284,2.4808,2.3167,2.1419,0.827,4.1851,0.0004,-0.1027,0.01056,-0.187,-1.135
17384,2.2848,2.2092,2.0053,0.827,4.1851,-0.0354,-0.0285,0.00207,-0.259,-1.14
17483,2.3652,2.131,1.8915,0.827,4.1851,-0.0276,-0.1995,0.04058,-0.019,-1.068
17586,2.33,2.087,1.9825,0.827,4.1851,0.0609,-0.1497,0.02611,-0.161,-0.987
17689,2.3903,2.1603,1.9313,0.827,4.1851,-0.0217,-0.1909,0.03691,-0.195,-1.122
17787,2.2697,2.2141,2.0281,0.827,4.1851,-0.0278,-0.0012,0.00077,-0.276,-1.155
17891,2.4858,2.3216,2.1476,0.827,4.1851,0.0009,-0.1025,0.01051,-0.143,-1.23
17992,2.3099,2.0674,2.0906,0.827,4.1851,0.1429,-0.0938,0.02922,-0.013,-0.967
18094,2.3451,2.1065,1.863,0.827,4.1851,-0.0294,-0.2055,0.04311,-0.22,-1.093
18189,2.3401,2.1114,1.8972,0.8563,4.1851,-0.0125,-0.1831,0.03369,-0.129,-1.125
18295,2.2395,2.1799,2.0224,0.827,4.1851,-0.0087,0.0072,0.00013,-0.074,-0.99
18397,2.325,2.087,2.011,0.827,4.1851,0.0782,-0.1324,0.02365,-0.248,-1.244
18502,2.3803,2.1848,1.9939,0.827,4.1851,-0.0038,-0.1405,0.01976,-0.033,-1.189
