t_ms,VA,VG,V+,pos_a,pos_g,eps_a,eps_g,erreur,vel_a,vel_g
16237,2.4708,2.1505,1.9029,0.7683,4.4656,-0.0162,-0.2875,0.0829,-0.084,-1.765
16338,2.4155,2.0772,2.0394,0.7683,4.4656,0.1222,-0.2142,0.06082,-0.098,-1.735
16438,2.5914,2.3314,2.1532,0.7683,4.4656,0.0168,-0.1983,0.03959,0.156,-1.8
16539,2.4255,2.1945,1.9882,0.7683,4.4656,-0.0069,-0.182,0.03317,-0.043,-1.734
16640,2.4054,2.1065,2.0565,0.7683,4.4656,0.1067,-0.1809,0.0441,0.153,-1.77
16742,2.3903,2.2434,2.0224,0.739,4.4656,-0.0326,-0.1059,0.01228,-0.082,-1.738
16843,2.3602,2.1065,1.7606,0.739,4.4656,-0.0923,-0.2647,0.0786,0.063,-1.77
16944,2.4205,2.0968,2.0793,0.7683,4.4656,0.1325,-0.1911,0.05408,-0.069,-1.764
17044,2.5864,2.3265,2.1532,0.7683,4.4656,0.02,-0.196,0.03882,-0.012,-1.798
17145,2.3903,2.2483,2.011,0.827,4.4656,-0.0441,-0.1082,0.01364,0.012,-1.733
17246,0.1535,0.0,-0.4814,0.7683,4.4656,-0.1989,-0.2252,0.09025,-0.491,-1.718
17348,2.3551,2.2043,1.9655,0.7683,4.4656,-0.0433,-0.1175,0.01568,-0.024,-1.736
17448,2.4305,2.0919,2.0394,0.7683,4.4656,0.1129,-0.2209,0.06156,0.091,-1.74
17556,2.5864,2.3314,2.1532,0.7683,4.4656,0.0159,-0.1933,0.03763,0.038,-1.799
17658,2.3551,2.2141,1.9825,0.739,4.4656,-0.0405,-0.1047,0.01261,-0.114,-1.756
17759,2.5914,2.3314,2.1532,0.739,4.4656,0.0168,-0.1983,0.03959,0.165,-1.8
17861,2.3401,2.1994,1.9598,0.7683,4.4656,-0.0458,-0.1078,0.01373,-0.097,-1.77
17963,2.4557,2.131,1.9029,0.7977,4.4656,-0.0028,-0.2834,0.08031,0.101,-1.8
18063,2.5914,2.3314,2.1532,0.7683,4.4656,0.0168,-0.1983,0.03959,-0.038,-1.796
18164,2.4104,2.1994,2.0394,0.7683,4.4656,0.019,-0.1423,0.02062,-0.117,-1.695
18259,2.4808,2.1848,1.937,0.7683,4.4656,-0.0209,-0.2638,0.07003,0.133,-1.8
18369,2.4607,2.1359,1.8858,0.7683,4.4936,-0.0169,-0.293,0.08616,-0.127,-1.786
18468,2.3954,2.2434,2.0281,0.7683,4.4656,-0.028,-0.1084,0.01253,-0.205,-1.708
18568,2.5914,2.3363,2.1646,0.7683,4.4656,0.0201,-0.1907,0.03675,0.144,-1.796
18665,2.3401,2.2141,1.9484,0.7683,4.4656,-0.0654,-0.1047,0.01525,-0.119,-1.769
18767,2.4104,2.1848,2.0451,0.827,4.4656,0.035,-0.1479,0.0231,0.049,-1.71
18868,2.4557,2.1799,1.9427,0.7683,4.4656,-0.0181,-0.2394,0.05762,0.004,-1.797
18969,2.4054,2.1212,2.0224,0.7683,4.4656,0.0725,-0.1876,0.04046,-0.105,-1.757
19071,2.3803,2.219,2.0167,0.7683,4.4656,-0.0178,-0.1119,0.01284,-0.152,-1.72
19170,2.4104,2.2287,2.0167,0.7683,4.4656,-0.0201,-0.1361,0.01894,-0.061,-1.736
19282,2.4406,2.1065,1.846,0.7683,4.4656,-0.0219,-0.3066,0.0945,0.001,-1.733
19373,2.5864,2.3314,2.1532,0.739,4.4656,0.0159,-0.1933,0.03763,0.146,-1.8
19479,2.4607,2.1408,1.8801,0.7683,4.4656,-0.0246,-0.2928,0.08635,-0.047,-1.794
19576,2.4758,2.1603,1.9142,0.7683,4.4656,-0.0161,-0.2821,0.07985,0.122,-1.8
19675,2.5864,2.3314,2.176,0.7683,4.4656,0.0305,-0.1835,0.03459,-0.058,-1.782
19776,2.4607,2.1163,1.8915,0.7683,4.4656,0.0031,-0.3013,0.09078,-0.051,-1.78
19887,2.5914,2.3314,2.1476,0.739,4.4936,0.0132,-0.2007,0.04047,0.16,-1.8
19989,2.4456,2.1212,1.8915,0.7683,4.4656,-0.0039,-0.2838,0.08056,-0.172,-1.765
20090,2.4808,2.1603,1.9882,0.739,4.4656,0.0324,-0.255,0.06607,0.167,-1.787
20190,2.4356,2.1017,2.0679,0.7683,4.3814,0.124,-0.2082,0.05872,-0.049,-1.768
20291,2.3602,2.2092,1.9768,0.7683,4.4656,-0.0391,-0.1148,0.01471,-0.127,-1.763
20392,2.4004,2.1896,2.0167,0.7683,4.4656,0.0106,-0.1477,0.02192,0.108,-1.74
20494,2.4456,2.1212,1.863,0.739,4.4656,-0.0222,-0.2961,0.08819,-0.109,-1.783
20597,2.4858,2.175,1.937,0.739,4.4656,-0.0118,-0.2741,0.07526,0.135,-1.798
20698,2.3602,2.2434,1.9996,0.7977,4.4656,-0.0531,-0.0862,0.01025,-0.027,-1.708
20796,2.5663,2.3265,1.9939,0.7683,4.4095,-0.0864,-0.2453,0.06766,-0.163,-1.799
20897,2.32,2.1945,1.9711,0.7683,4.4656,-0.0383,-0.0858,0.00884,0.092,-1.768
20997,2.4657,2.1457,1.9427,0.7683,4.4656,0.0125,-0.268,0.07195,-0.084,-1.768
21097,2.4607,2.1457,1.9029,0.7683,4.4656,-0.0141,-0.2803,0.07876,0.043,-1.794
21203,2.4607,2.1359,1.9142,0.7683,4.4656,0.0014,-0.2807,0.0788,-0.008,-1.794
21302,2.5814,2.3314,2.1589,0.739,4.4656,0.0186,-0.1859,0.03492,-0.002,-1.798
21404,2.4758,2.1457,1.9768,0.7683,4.4656,0.0364,-0.263,0.0705,0.046,-1.752
21507,2.3702,2.1848,1.9427,0.7683,4.4936,-0.0387,-0.1528,0.02486,-0.141,-1.764
21607,2.4657,2.1554,1.9256,0.739,4.4656,-0.0066,-0.27,0.07294,-0.074,-1.793
21707,2.2094,1.1339,2.1532,0.739,4.4656,0.9448,-0.4792,1.12234,-0.056,-1.797
21810,2.5864,2.3314,2.1646,0.739,4.4656,0.0232,-0.1884,0.03603,0.175,-1.8
21909,2.506,2.3265,1.9655,0.739,4.4656,-0.1164,-0.1985,0.05295,-0.057,-1.796
22011,2.4205,2.1114,2.0963,0.7683,4.4656,0.1312,-0.1757,0.04808,-0.108,-1.748
22110,2.3602,2.1994,1.937,0.7683,4.4656,-0.0566,-0.1374,0.02208,-0.12,-1.765
22212,2.4054,2.0723,2.0508,0.7683,4.4656,0.1317,-0.2021,0.05817,-0.143,-1.764
22316,2.5914,2.3314,2.1532,0.739,4.4656,0.0168,-0.1983,0.03959,0.165,-1.8
22416,2.4758,2.1799,1.9427,0.7683,4.4656,-0.0142,-0.2591,0.06732,0.107,-1.8
22517,2.33,2.1896,1.9484,0.739,4.4656,-0.0469,-0.1082,0.01392,0.133,-1.77
22617,2.4004,2.175,2.0451,0.7977,4.4375,0.0412,-0.1434,0.02226,-0.051,-1.726
22718,2.4657,2.1408,1.9142,0.7683,4.4095,-0.0017,-0.283,0.08007,0.032,-1.787
22818,2.5914,2.3363,2.1532,0.7683,4.4656,0.0128,-0.1956,0.03842,0.138,-1.8
22922,2.3853,2.2336,2.0451,0.7683,4.4656,-0.0108,-0.0965,0.00942,-0.152,-1.769
23025,2.4758,2.1359,1.9086,0.7683,4.5217,0.0007,-0.298,0.08878,0.106,-1.77
23119,2.4808,2.175,1.9541,0.7683,4.4656,-0.0018,-0.2618,0.06852,-0.012,-1.794
23225,2.3702,2.2141,1.9711,0.7683,4.4656,-0.0449,-0.1244,0.01751,-0.077,-1.764
23327,2.3401,2.1848,1.9996,0.7683,4.4656,-0.0079,-0.0986,0.00978,-0.077,-1.767
23427,2.4858,2.175,1.9996,0.739,4.4656,0.0285,-0.247,0.0618,0.064,-1.792
23529,2.4858,2.1896,2.011,0.739,4.4656,0.0235,-0.234,0.0553,-0.127,-1.726
23630,2.5914,2.3363,2.1532,0.7683,4.4656,0.0128,-0.1956,0.03842,0.13,-1.8
23731,2.4758,2.1505,1.937,0.7683,4.4656,0.0067,-0.2776,0.07711,-0.031,-1.767
23831,2.3602,2.2239,2.0224,0.7683,4.4656,-0.0221,-0.087,0.00806,-0.078,-1.71
23933,2.5914,2.3314,2.1589,0.739,4.4656,0.0205,-0.1958,0.03876,-0.121,-1.757
24035,2.4808,2.175,1.937,0.739,4.4656,-0.0128,-0.2692,0.07261,-0.029,-1.786
24135,2.5914,2.3314,2.1419,0.7683,4.4656,0.0095,-0.2032,0.04138,0.133,-1.8
24234,2.4104,2.1799,1.9484,0.7683,4.4656,-0.0232,-0.1925,0.03759,-0.094,-1.763
24339,2.4255,2.1065,1.9655,0.739,4.4656,0.0521,-0.24,0.06033,-0.072,-1.782
24439,2.5914,2.3314,2.1532,0.7097,4.4656,0.0168,-0.1983,0.03959,0.111,-1.8
24541,2.4708,2.131,1.8972,0.7683,4.4656,-0.0035,-0.3006,0.0904,-0.073,-1.768
24639,2.4607,2.131,1.937,0.739,4.4656,0.0201,-0.2735,0.07522,0.186,-1.8
24744,2.5663,2.3314,2.0451,0.7977,4.4656,-0.0576,-0.2205,0.05192,-0.134,-1.782
24844,2.4406,2.1114,1.9996,0.7683,4.4656,0.0729,-0.2374,0.06165,-0.151,-1.639
24945,2.5914,2.3314,2.1532,0.7683,4.4656,0.0168,-0.1983,0.03959,0.156,-1.8
25049,2.3954,2.2483,2.0337,0.7683,4.4656,-0.0284,-0.1032,0.01147,-0.104,-1.739
25148,2.4456,2.1114,1.9541,0.7683,4.4656,0.0446,-0.262,0.07064,0.169,-1.786
25250,2.4054,2.1603,2.0337,0.739,4.4656,0.0471,-0.1613,0.02823,-0.08,-1.704
25352,2.4758,2.1554,1.9086,0.7977,4.4656,-0.0157,-0.2873,0.08276,-0.017,-1.8
25451,2.4557,2.1359,1.8858,0.7683,4.4656,-0.0179,-0.2881,0.08332,-0.117,-1.763
25553,2.5864,2.3314,2.1532,0.7683,4.4656,0.0159,-0.1933,0.03763,0.109,-1.8
25654,2.33,2.2043,1.9825,0.7683,4.4656,-0.0372,-0.0854,0.00868,0.032,-1.753
25757,2.3853,2.2287,2.0053,0.7683,4.4656,-0.0323,-0.1164,0.0146,-0.151,-1.7
