t_ms,eps_a,eps_g
16589,0.02197,-0.06159
16611,-0.00844,-0.05934
16633,-0.02401,-0.0882
16656,-0.00296,-0.08714
16678,-0.11802,-0.14222
16700,-0.01861,-0.09402
16722,-0.11479,-0.14997
16745,0.04327,-0.05642
16767,0.05673,-0.0682
16790,0.01622,-0.06079
16811,-0.01133,-0.09422
16834,0.05527,-0.17344
16856,-0.03935,-0.0841
16879,-0.01821,-0.09885
16900,0.04039,-0.18813
16923,0.01541,-0.05113
16945,-0.01821,-0.09885
16968,-0.10983,-0.14705
16991,-0.01464,-0.07066
17012,-0.01609,-0.08707
17035,0.0296,-0.08561
17057,0.01114,-0.06874
17080,-0.10832,-0.1405
17101,-0.00736,-0.07086
17124,-0.01152,-0.11024
17146,0.04719,-0.07886
17169,0.00182,-0.06934
17190,-0.02549,-0.09866
17213,-0.00162,-0.07165
17235,-0.06898,-0.11442
17258,-0.01861,-0.09402
17280,-0.0042,-0.06669
17302,0.02317,-0.04517
17324,-0.02114,-0.10097
17347,0.0304,-0.06437
17369,0.01853,-0.06391
17391,-0.11428,-0.14977
17413,-0.00331,-0.06331
17436,-0.01093,-0.09905
17459,-0.13048,-0.155
17480,0.02162,-0.07072
17503,-0.10094,-0.13567
17525,-0.07827,-0.12097
17548,0.00212,-0.0792
17570,-0.01133,-0.09422
17592,-0.02671,-0.17298
17614,-0.00057,-0.07721
17637,-0.0087,-0.08224
17659,-0.08332,-0.13487
17681,-0.00967,-0.06775
17703,0.01104,-0.07377
17726,-0.07928,-0.15228
17748,-0.00768,-0.11275
17771,0.02119,-0.05994
17792,-0.05536,-0.10422
17815,-0.01912,-0.09422
17837,-0.11216,-0.13799
17860,-0.05152,-0.10674
17881,-0.02458,-0.10329
17904,-0.00613,-0.0604
17926,-0.02039,-0.06987
17949,-0.01477,-0.09654
17971,-0.00946,-0.0886
17993,-0.10376,-0.13276
18016,-0.01033,-0.15174
18038,0.00719,-0.07125
18061,-0.02044,-0.08476
18082,0.00043,-0.07086
18105,-0.1076,-0.13024
