fichier,Ca_mm,Cg_mm,freq_MHz_reelle,|S_gen|_mes_dB,|S_gen|_mod_dB,ecart_gen_dB,|S_ant|_mes_dB,|S_ant|_mod_dB,ecart_ant_dB,Gamma2_G_mesure
CA_48p00_CG40p00.s2p,48.0,40.0,37.9,-8.757270228520342,-1.4579774315153207,-7.299292797005021,-8.604600008158545,-1.4579774315153289,-7.1466225766432165,0.1331290942114782
CA_48p00_CG45p00.s2p,48.0,45.0,37.9,-4.662345050972546,-0.8952880847725488,-3.7670569661999975,-4.631072025703653,-0.8952880847725532,-3.7357839409311,0.3417948344239229
CA_48p00_CG48p00.s2p,48.0,48.0,37.9,-3.2717170507668736,-0.7320666696314619,-2.5396503811354116,-3.2643774721822383,-0.7320666696314692,-2.5323108025507692,0.47079115499258267
CA_50p00_CG10p00.s2p,50.0,10.0,37.9,-0.028166082203420664,-9.19678690132582e-05,-0.028074114334407405,-0.036250774515501266,-9.196786901518686e-05,-0.03615880664648608,0.9935355052339404
CA_50p00_CG15p00.s2p,50.0,15.0,37.9,-0.057791909760040394,-0.017180531642885577,-0.04061137811715482,-0.06060124337936145,-0.01718053164288751,-0.04342071173647394,0.9867810687551827
CA_50p00_CG20p00.s2p,50.0,20.0,37.9,-0.14394540278563261,-0.12920356135270755,-0.014741841432925062,-0.1470095866274634,-0.1292035613527036,-0.0178060252747598,0.9673986115182175
CA_50p00_CG25p00.s2p,50.0,25.0,37.9,-0.3992911165830513,-0.8283120704582905,0.4290209538752392,-0.3972555450460749,-0.8283120704582831,0.43105652541220824,0.9121597157873681
CA_50p00_CG30p00.s2p,50.0,30.0,37.9,-1.230543029894103,-5.962372985349694,4.7318299554555905,-1.2190015050328848,-5.962372985349715,4.74337148031683,0.7532613721116556
CA_50p00_CG35p00.s2p,50.0,35.0,37.9,-4.140293238461139,-2.9906485314245375,-1.1496447070366012,-4.086664355293289,-2.990648531424536,-1.0960158238687527,0.3854523307948279
CA_50p00_CG40p00.s2p,50.0,40.0,37.9,-7.159396179055337,-1.2912841288475496,-5.868112050207787,-7.024126964425581,-1.291284128847554,-5.732842835578027,0.19233591243849887
CA_50p00_CG45p00.s2p,50.0,45.0,37.9,-3.8114890187240618,-0.7995038101209662,-3.011985208603096,-3.780181957567596,-0.7995038101209683,-2.980678147446628,0.41576803614450597
CA_50p00_CG48p00.s2p,50.0,48.0,37.9,-2.6892040338643266,-0.655846391378849,-2.033357642485478,-2.6806764881944596,-0.655846391378848,-2.0248300968156117,0.5383684445535039
